seed,x_cells,y_cells,area_cells,solute_mass
0,8.2993,1021.8146,105,8.521103
0,46.2645,1.0870,85,6.345583
0,62.0825,2.8065,52,3.124902
0,77.4670,1023.1486,52,3.114085
0,98.7013,1016.3947,171,13.756653
0,118.0151,1023.1390,102,8.160866
0,192.6162,8.8219,315,25.167299
0,249.9673,1019.4523,161,11.998570
0,269.4281,3.9094,98,7.324931
0,324.2946,1020.1587,143,12.694722
0,344.3165,0.3882,12,0.215884
0,379.5853,1020.6593,143,8.723316
0,394.9384,5.2624,103,6.521974
0,413.6274,1.0917,103,8.008176
0,428.8686,1020.7032,51,2.875234
0,446.8962,1019.5189,100,7.602203
0,471.6510,0.2199,134,11.910397
0,510.0339,1020.3052,176,13.832614
0,529.4337,4.4191,102,7.930529
0,551.8627,1019.6608,181,15.017840
0,573.1650,1023.4935,73,5.063204
0,591.8261,1022.7956,110,9.102677
0,761.8351,2.3926,135,11.956322
0,796.7692,1020.1107,168,13.708393
0,820.4622,1019.5799,87,6.736451
0,856.4930,1022.1939,89,6.777106
0,883.0613,0.9537,70,4.852546
0,932.3634,1018.2510,112,9.159090
0,975.2150,1021.1819,156,14.801786
0,1011.0612,4.7979,116,9.796410
0,24.5084,7.0782,81,6.038869
0,835.8745,8.4455,131,11.282473
0,149.7271,11.1081,165,14.651509
0,653.4332,8.4580,97,7.817247
0,915.6184,8.2372,108,8.550982
0,489.3147,9.1327,87,6.222336
0,606.2143,8.8893,106,8.698779
0,674.5960,8.2928,66,4.283283
0,989.9095,8.0806,65,4.178683
0,214.9607,8.6539,55,3.265069
0,623.1109,8.2118,50,2.939431
0,287.7788,10.7217,83,6.086962
0,306.2684,11.4577,104,8.371525
0,451.3660,9.9968,60,3.807920
0,712.3315,11.7350,122,10.173121
0,233.3861,12.1456,116,9.495625
0,348.5903,10.4571,39,1.812560
0,638.4610,10.2073,37,1.831569
0,170.7459,11.7278,54,3.198160
0,335.0817,10.0194,21,0.793123
0,433.3848,13.0164,101,7.881923
0,807.2659,17.7706,119,6.835214
0,896.8203,14.9742,154,14.170327
0,129.9867,13.3811,65,4.369283
0,365.8317,15.1603,172,12.040728
0,689.7519,14.2405,94,7.170632
0,953.7511,13.9865,184,12.949730
0,87.4724,15.5834,121,10.595604
0,571.6111,14.9520,104,8.037127
0,8.8840,13.9822,46,2.746720
0,730.6782,15.2643,64,3.869506
0,932.6174,14.3772,36,1.816359
0,46.7225,17.1253,80,5.947098
0,853.9960,15.8439,46,2.656609
0,66.0286,24.6565,201,15.734951
0,103.1109,14.8588,22,0.868538
0,744.3200,18.0460,93,6.818223
0,785.4752,20.2948,172,15.931329
0,555.8410,17.9271,65,4.164774
0,407.5390,23.3458,179,16.188567
0,1001.4943,19.9341,99,7.593975
0,324.1714,20.7320,103,8.214686
0,267.3843,21.5213,133,10.954000
0,461.9470,21.8820,106,8.299426
0,480.7987,19.2346,30,1.282850
0,538.2311,22.6315,136,12.137852
0,664.9965,22.3501,98,7.566645
0,342.8723,20.4269,18,0.526905
0,762.8928,23.0639,111,9.294418
0,869.7095,26.8652,193,17.851143
0,115.5551,23.5141,88,6.694492
0,626.9880,25.0799,137,11.713861
0,979.1608,23.9090,77,5.553649
0,33.5513,23.6117,52,3.172404
0,179.2330,21.7129,11,0.203343
0,824.4503,24.1236,65,4.325586
0,501.0159,26.7803,150,13.371754
0,919.7490,25.5272,69,4.714670
0,164.8615,26.3380,87,6.320065
0,247.6496,29.3290,142,12.522610
0,601.4599,30.4841,194,13.637993
0,841.4132,26.2783,54,3.157818
0,1019.9551,31.7487,166,14.058408
0,217.7635,31.7509,156,12.251177
0,309.1246,26.9449,26,1.165806
0,520.2579,27.9251,66,4.343208
0,581.4065,26.9751,43,2.074909
0,937.6092,29.1146,82,5.740708
0,137.0858,31.0920,131,11.158535
0,388.1156,28.0578,47,2.724582
0,650.1975,30.4450,99,5.047733
0,681.5122,28.4482,36,1.897056
0,710.5001,30.9394,129,10.912269
0,289.1046,31.9995,134,11.352407
0,17.7110,33.5741,152,13.856139
0,438.7803,32.8936,148,13.371473
0,961.2707,34.2365,151,13.621526
0,102.9406,34.1051,92,6.900051
0,188.3098,33.5371,87,6.600714
0,338.8008,35.6185,141,12.157494
0,475.6087,35.0230,100,7.714116
0,555.1265,33.6543,61,3.832634
0,889.0663,35.1422,80,5.907858
0,1001.4466,33.9549,39,1.841190
0,694.8586,34.0670,52,2.984257
0,732.8084,37.8876,152,13.592078
0,86.4278,36.3329,75,5.324429
0,375.0670,36.6806,67,4.529383
0,855.1064,45.1218,137,8.450501
0,44.0117,41.9177,186,13.405132
0,829.9492,37.9371,69,4.781359
0,910.3116,39.8325,123,10.248711
0,790.2033,44.1407,253,21.026293
0,986.8510,38.1263,53,3.255772
0,307.6511,41.6229,116,6.480172
0,360.1067,40.8330,81,5.748526
0,569.9072,41.2336,109,8.935301
0,123.6602,39.6703,28,1.061029
0,153.8194,45.2431,181,14.494528
0,231.9612,40.9960,61,3.654740
0,770.0580,38.8112,14,0.330979
0,527.4344,43.2910,95,7.581443
0,642.5048,48.0639,174,13.751063
0,753.2650,44.6661,164,14.859654
0,270.0662,43.6857,90,6.965960
0,422.5047,46.8720,130,9.404207
0,588.0074,41.2208,30,1.252412
0,930.1156,42.8002,63,3.858304
0,454.7697,45.3288,96,7.566891
0,391.9235,46.5103,104,8.325331
0,686.7033,47.4383,131,11.274961
0,490.3888,47.5222,111,8.925389
0,548.5276,46.3272,58,3.719142
0,508.2378,47.2842,82,6.011614
0,667.4148,49.0380,121,9.645127
0,814.3288,45.7075,35,1.641013
0,619.3944,52.5319,151,12.705006
0,71.4919,50.8479,130,11.191563
0,325.5461,49.9687,84,6.340515
0,182.2962,51.6897,195,16.576230
0,206.6070,50.7961,80,5.637419
0,717.4358,51.0631,100,7.827935
0,977.2160,50.0078,70,5.005211
0,111.6828,52.8507,110,9.004581
0,249.4617,54.8881,177,15.388295
0,283.6031,50.2552,59,3.814328
0,833.2536,53.4216,126,8.148599
0,875.8767,53.4930,137,12.080103
0,93.0643,51.4501,58,3.729621
0,471.3574,52.7027,71,4.860047
0,997.5817,54.4945,159,14.272120
0,15.5926,52.7588,70,4.602358
0,407.2269,54.3187,96,7.238402
0,942.7097,54.2037,101,8.240991
0,130.3242,54.2628,81,5.925717
0,349.3265,55.9768,115,9.228548
0,924.5745,53.8445,41,1.888274
0,1021.0138,55.2705,108,8.887453
0,372.8690,56.3156,126,10.763696
0,597.4787,56.0827,105,8.534030
0,896.5868,56.0619,105,8.589019
0,962.9293,55.2362,78,5.488847
0,222.7604,58.0683,123,10.466522
0,440.8785,55.4399,57,3.329824
0,579.9563,56.4709,78,5.575046
0,34.7802,55.1739,11,0.219618
0,534.3181,59.1086,97,7.490513
